dateNum,block,rigPosition,occRateBrood,occRateWP,meanTempOccBrood,meanTempUnoccBrood,meanTempOccWP,meanTempUnoccWP,meanTempBrood_all,meanTempWP_all,meanTemp_offNest,meanBodyTemp,nestAirTemp,outsideNestTemp,tempRampState,thermImOffset,thermIm95Int
737659.400775463,2,4,0.56,0.129411764705882,25.8575663217283,25.4240101797845,25.464318710373,24.6424797595308,25.7618406031292,25.0329790464404,24.7873832054819,27.4997992361595,25.09375,24.875,0,-4.10079838072697,2.7920125880653
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
737659.419131944,2,4,0.6,0.364705882352941,25.6839884679189,23.9666551345856,24.7291160300926,23.9366981896322,25.1034907613628,24.3932479257069,24.0234040139293,25.7309665873718,24.625,24.0625,1,-6.11734486541443,2.76609026861858
737659.425983796,2,4,0.8,0.282352941176471,26.1484391607566,24.5334391607566,24.8364522545042,24.0752984657223,25.7842616218542,24.9273458453526,23.7605262915556,25.8719920619907,24.0625,22.1875,2,-0.986560839243407,3.22375217121476
737659.432835648,2,4,0.76,0.329411764705882,24.9326456136846,22.8821873915717,23.7196670395138,22.7999724521171,24.5011610412755,23.7350251745616,22.3935598523118,24.2403204142417,22.65625,19.875,2,-4.88646435962251,3.79001737976954
737659.439699074,2,4,0.64,0.447058823529412,22.4265049438533,20.5115936367829,21.4621374813892,20.3002580195559,21.7499927722905,20.8144794924744,19.8168691768778,22.4703986678454,21.09375,17.5,2,-5.8794631266921,6.39999999999998
737659.446550926,2,4,0.76,0.282352941176471,21.5843804889489,19.6150196469391,20.4018217341425,19.2688199492433,21.1122466221987,20.1394964865007,18.6834791971759,21.0135625515954,19.375,15.0625,2,-6.02866611313346,5.23343300615444
737659.453402778,2,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17.84375,13.1875,2,NaN,NaN
737659.459131944,2,4,0.84,0.176470588235294,17.6133329761083,15.3493383337646,17.4359762117177,16.0257771045649,17.2393917637335,16.321895008271,15.3836764007866,18.2882509672923,17,12.5,2,-0.00571255331211376,6.62271697203111
737659.465243056,2,4,0.8,0.341176470588235,18.4506760581403,15.3819260581403,17.1616040262483,15.9019273376819,17.7765510340826,16.811908869941,15.4280029983463,18.2129170253929,16.53125,12.125,3,-0.350073941859778,5.71102729228467
737659.472094907,2,4,0.68,0.305882352941176,19.3534807790316,16.1974454694439,17.2825823740982,16.0451968738667,18.2984894154866,17.2129968639719,15.6835948333412,17.9769587823231,16.21875,11.875,3,-3.48985052003649,4.61198982704807
737659.47775463,2,4,0.64,0.341176470588235,17.6961682558764,15.9651982946823,16.8367664065597,15.4117203505073,17.0925335312478,16.3881792513249,15.0742177460634,16.9438558799123,16.125,11.8125,3,-0.503980930153531,5.59384129424598
737659.484768518,2,4,0.76,0.364705882352941,17.0792333221516,15.6037630396425,15.9646791033085,15.3052997540695,16.7785970553452,15.85764803339,15.0645970281606,17.3166626418874,16,11.6875,3,-6.43047954565059,4.51999999999998
737659.490439815,2,4,0.8,0.341176470588235,17.5343564710627,15.0973564710626,16.4532169398138,15.421883190847,17.0551005735987,16.2392353397451,15.1183539415439,16.9061923551149,15.96875,11.6875,3,-1.91864352893738,4.8381442050267
737659.496064815,2,4,0.88,0.352941176470588,17.8506650726418,15.4635303312742,16.6255292541099,15.6983089036777,17.5781946593957,16.7388126585377,15.4349085535971,18.0545846982198,15.9375,11.6875,3,-2.33739109632231,4.04007082545108
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
